"num_fatura","nom_filial","tpo_cliente","nom_sexo_cliente","id_linha_produto","vlr_preco_unitario","qtd_produtos","dta_venda","hra_venda","nom_forma_pagam","num_avaliacao"
"750-67-8428","A","Member","Female","4","224.07","7","1/5/2019","13:08","Debit card","10"
"226-31-3081","C","Normal","Female","1","45.84","10","3/8/2019","10:29","Cash","5"
"631-41-3108","A","Normal","Male","5","138.99","5","3/3/2019","13:23","Credit card","9"
"123-19-1176","A","Member","Male","4","174.66","8","1/27/2019","20:33","Debit card","10"
"373-73-7910","A","Normal","Male","6","258.93","7","2/8/2019","10:37","Debit card","6"
"699-14-3026","C","Normal","Male","1","256.16998","5","3/25/2019","18:30","Debit card","5"
"355-53-5943","A","Member","Female","1","206.51999","6","2/25/2019","14:36","Debit card","7"
"315-22-5665","C","Normal","Female","5","220.68","10","2/24/2019","11:38","Debit card","10"
"665-32-9167","A","Member","Female","4","108.78","2","1/10/2019","17:15","Credit card","9"
"692-92-5582","B","Member","Female","3","164.52","3","2/20/2019","13:27","Credit card","7"
"351-62-0822","B","Member","Female","2","43.44","4","2/6/2019","18:07","Debit card","5"
"529-56-3974","B","Member","Male","1","76.53","3","3/9/2019","17:03","Cash","8"
"365-64-0515","A","Normal","Female","1","140.85","5","2/12/2019","10:25","Debit card","9"
"252-56-2699","A","Normal","Male","3","129.56999","10","2/7/2019","16:48","Debit card","10"
"829-34-3910","A","Normal","Female","4","214.13998","16","3/29/2019","19:21","Cash","3"
"299-46-1805","B","Member","Female","6","281.16","12","1/15/2019","16:19","Cash","5"
"656-95-9349","A","Member","Female","4","206.79001","5","3/11/2019","11:03","Credit card","5"
"765-26-6951","A","Normal","Male","6","217.83","6","1/1/2019","10:39","Credit card","8"
"329-62-1586","A","Normal","Male","3","164.01","3","1/21/2019","18:00","Credit card","10"
"319-50-3348","B","Normal","Female","5","120.899994","1","3/11/2019","15:30","Debit card","5"
"300-71-4605","C","Member","Male","1","258.12","5","2/25/2019","11:24","Debit card","6"
"371-85-5789","B","Normal","Male","4","263.94","2","3/5/2019","10:40","Debit card","6"
